song,plays,datetime,artist,album
KOSHI XOXO,1,"02 Oct 2025, 00:33",Camila Cabello,"C,XOXO"
Dade County Dreaming,1,"02 Oct 2025, 00:30",Camila Cabello,"C,XOXO"
Twentysomethings,1,"02 Oct 2025, 00:27",Camila Cabello,"C,XOXO"
hE kNOws,1,"02 Oct 2025, 00:24",Camila Cabello,"C,XOXO"
pink xoxo,1,"02 Oct 2025, 00:23",Camila Cabello,"C,XOXO"
Chanel No.5,1,"02 Oct 2025, 00:21",Camila Cabello,"C,XOXO"
I Luv It,1,"02 Oct 2025, 00:04",Camila Cabello,"C,XOXO"
June Gloom,1,"01 Oct 2025, 23:59",Camila Cabello,"C,XOXO"
pretty when i cry,1,"01 Oct 2025, 23:56",Camila Cabello,"C,XOXO"
B.O.A.T.,1,"01 Oct 2025, 23:53",Camila Cabello,"C,XOXO"
305tilidie,1,"01 Oct 2025, 23:53",Camila Cabello,"C,XOXO"
DREAM-GIRLS,1,"01 Oct 2025, 23:50",Camila Cabello,"C,XOXO"
Uuugly,1,"01 Oct 2025, 23:48",Drake,"C,XOXO"
HOT UPTOWN,1,"01 Oct 2025, 23:45",Camila Cabello,"C,XOXO"
KOSHI XOXO,1,"01 Oct 2025, 23:45",Camila Cabello,"C,XOXO"
Dade County Dreaming,1,"01 Oct 2025, 23:42",Camila Cabello,"C,XOXO"
Twentysomethings,1,"01 Oct 2025, 23:39",Camila Cabello,"C,XOXO"
hE kNOws,1,"01 Oct 2025, 23:36",Camila Cabello,"C,XOXO"
pink xoxo,1,"01 Oct 2025, 23:35",Camila Cabello,"C,XOXO"
Chanel No.5,1,"01 Oct 2025, 23:33",Camila Cabello,"C,XOXO"
I Luv It,1,"01 Oct 2025, 23:30",Camila Cabello,"C,XOXO"
Lola (feat. Yotuel),1,"01 Oct 2025, 23:27",Camila Cabello,Familia
No Doubt,1,"01 Oct 2025, 23:23",Camila Cabello,Familia
Hasta Los Dientes,1,"01 Oct 2025, 23:20",Camila Cabello,Familia
Boys Don't Cry,1,"01 Oct 2025, 23:17",Camila Cabello,Familia
La Buena Vida,1,"01 Oct 2025, 23:13",Camila Cabello,Familia
Bam Bam (feat. Ed Sheeran),1,"01 Oct 2025, 23:08",Camila Cabello,Familia
Father Figure,1,"01 Oct 2025, 22:59",George Michael,Faith
everyone at this party,1,"01 Oct 2025, 22:54",Camila Cabello,Familia
Lola (feat. Yotuel),1,"01 Oct 2025, 22:51",Camila Cabello,Familia
Don't Go Yet,1,"01 Oct 2025, 22:48",Camila Cabello,Familia
No Doubt,1,"01 Oct 2025, 22:45",Camila Cabello,Familia
Hasta Los Dientes,1,"01 Oct 2025, 22:42",Camila Cabello,Familia
Boys Don't Cry,1,"01 Oct 2025, 22:38",Camila Cabello,Familia
Quiet,1,"01 Oct 2025, 22:34",Camila Cabello,Familia
La Buena Vida,1,"01 Oct 2025, 22:27",Camila Cabello,Familia
Bam Bam (feat. Ed Sheeran),1,"01 Oct 2025, 22:23",Camila Cabello,Familia
psychofreak (feat. WILLOW),1,"01 Oct 2025, 22:20",Camila Cabello,Familia
Celia,1,"01 Oct 2025, 22:17",Camila Cabello,Familia
First Man,1,"01 Oct 2025, 22:13",Camila Cabello,Romance
Used to This,1,"01 Oct 2025, 22:10",Camila Cabello,Romance
This Love,1,"01 Oct 2025, 22:06",Camila Cabello,Romance
Cry for Me,1,"01 Oct 2025, 22:03",Camila Cabello,Romance
Feel It Twice,1,"01 Oct 2025, 22:00",Camila Cabello,Romance
Dream of You,1,"01 Oct 2025, 21:56",Camila Cabello,Romance
Feel It Twice,1,"01 Oct 2025, 21:53",Camila Cabello,Romance
Easy,1,"01 Oct 2025, 21:50",Camila Cabello,Romance
Bad Kind of Butterflies,1,"01 Oct 2025, 21:47",Camila Cabello,Romance
Liar,1,"01 Oct 2025, 21:43",Camila Cabello,Romance
Señorita,1,"01 Oct 2025, 21:40",Shawn Mendes,Romance
My Oh My (feat. DaBaby),1,"01 Oct 2025, 21:37",Camila Cabello,Romance
Should've Said It,1,"01 Oct 2025, 21:33",Camila Cabello,Romance
Living Proof,1,"01 Oct 2025, 21:31",Camila Cabello,Romance
Shameless,1,"01 Oct 2025, 21:24",Camila Cabello,Romance
First Man,1,"01 Oct 2025, 21:20",Camila Cabello,Romance
Used to This,1,"01 Oct 2025, 21:15",Camila Cabello,Romance
Father Figure,1,"01 Oct 2025, 21:01",George Michael,Faith
This Love,1,"01 Oct 2025, 20:58",Camila Cabello,Romance
Cry for Me,1,"01 Oct 2025, 18:43",Camila Cabello,Romance
Dream of You,1,"01 Oct 2025, 18:40",Camila Cabello,Romance
Feel It Twice,1,"01 Oct 2025, 18:37",Camila Cabello,Romance
Easy,1,"01 Oct 2025, 18:33",Camila Cabello,Romance
Bad Kind of Butterflies,1,"01 Oct 2025, 18:30",Camila Cabello,Romance
Liar,1,"01 Oct 2025, 18:27",Camila Cabello,Romance
Señorita,1,"01 Oct 2025, 18:24",Shawn Mendes,Romance
My Oh My (feat. DaBaby),1,"01 Oct 2025, 18:21",Camila Cabello,Romance
Should've Said It,1,"01 Oct 2025, 18:17",Camila Cabello,Romance
Living Proof,1,"01 Oct 2025, 18:14",Camila Cabello,Romance
Shameless,1,"01 Oct 2025, 17:44",Camila Cabello,Romance
Never Be the Same,1,"01 Oct 2025, 17:29",Camila Cabello,Camila
Into It,1,"01 Oct 2025, 17:26",Camila Cabello,Camila
In the Dark,1,"01 Oct 2025, 17:22",Camila Cabello,Camila
Something's Gotta Give,1,"01 Oct 2025, 17:18",Camila Cabello,Camila
Real Friends,1,"01 Oct 2025, 17:15",Camila Cabello,Camila
Consequences,1,"01 Oct 2025, 17:12",Camila Cabello,Camila
Inside Out,1,"01 Oct 2025, 17:09",Camila Cabello,Camila
Havana (feat. Young Thug),1,"01 Oct 2025, 17:05",Camila Cabello,Camila
She Loves Control,1,"01 Oct 2025, 17:02",Camila Cabello,Camila
She Loves Control,1,"01 Oct 2025, 16:39",Camila Cabello,Camila
All These Years,1,"01 Oct 2025, 15:41",Camila Cabello,Camila
Never Be the Same,1,"01 Oct 2025, 15:37",Camila Cabello,Camila
Never Be the Same (Radio Edit),1,"01 Oct 2025, 15:34",Camila Cabello,Camila
Into It,1,"01 Oct 2025, 15:31",Camila Cabello,Camila
In the Dark,1,"01 Oct 2025, 15:27",Camila Cabello,Camila
Something's Gotta Give,1,"01 Oct 2025, 15:23",Camila Cabello,Camila
Real Friends,1,"01 Oct 2025, 15:10",Camila Cabello,Camila
Consequences,1,"01 Oct 2025, 15:07",Camila Cabello,Camila
Inside Out,1,"01 Oct 2025, 15:03",Camila Cabello,Camila
Havana (feat. Young Thug),1,"01 Oct 2025, 14:59",Camila Cabello,Camila
She Loves Control,1,"01 Oct 2025, 14:56",Camila Cabello,Camila
All These Years,1,"01 Oct 2025, 14:54",Camila Cabello,Camila
Never Be the Same,1,"01 Oct 2025, 14:50",Camila Cabello,Camila
Puss Puss,1,"01 Oct 2025, 14:46",Zara Larsson,Midnight Sun
The Ambition,1,"01 Oct 2025, 14:42",Zara Larsson,Midnight Sun
Hot  Sexy,1,"01 Oct 2025, 14:39",Zara Larsson,Midnight Sun
Eurosummer,1,"01 Oct 2025, 14:36",Zara Larsson,Midnight Sun
Girl's Girl,1,"01 Oct 2025, 14:33",Zara Larsson,Midnight Sun
Puss Puss,1,"01 Oct 2025, 14:30",Zara Larsson,Midnight Sun
Saturn's Return,1,"01 Oct 2025, 14:26",Zara Larsson,Midnight Sun
The Ambition,1,"01 Oct 2025, 14:21",Zara Larsson,Midnight Sun
Hot  Sexy,1,"01 Oct 2025, 14:18",Zara Larsson,Midnight Sun
Eurosummer,1,"01 Oct 2025, 14:15",Zara Larsson,Midnight Sun
Crush,1,"01 Oct 2025, 14:10",Zara Larsson,Midnight Sun
Girl's Girl,1,"01 Oct 2025, 14:07",Zara Larsson,Midnight Sun
Pretty Ugly,1,"01 Oct 2025, 14:04",Zara Larsson,Midnight Sun
Blue Moon,1,"01 Oct 2025, 14:01",Zara Larsson,Midnight Sun
Midnight Sun,1,"01 Oct 2025, 13:58",Zara Larsson,Midnight Sun
Puss Puss,1,"01 Oct 2025, 13:51",Zara Larsson,Midnight Sun
Saturn's Return,1,"01 Oct 2025, 13:47",Zara Larsson,Midnight Sun
The Ambition,1,"01 Oct 2025, 13:44",Zara Larsson,Midnight Sun
Hot  Sexy,1,"01 Oct 2025, 13:41",Zara Larsson,Midnight Sun
Eurosummer,1,"01 Oct 2025, 13:38",Zara Larsson,Midnight Sun
Crush,1,"01 Oct 2025, 13:35",Zara Larsson,Midnight Sun
Girl's Girl,1,"01 Oct 2025, 13:24",Zara Larsson,Midnight Sun
Pretty Ugly,1,"01 Oct 2025, 13:22",Zara Larsson,Midnight Sun
Blue Moon,1,"01 Oct 2025, 13:19",Zara Larsson,Midnight Sun
Midnight Sun,1,"01 Oct 2025, 13:15",Zara Larsson,Midnight Sun
Parachute,1,"01 Oct 2025, 13:12",Hayley Williams,Ego Death At A Bachelorette Party
I Won't Quit On You,1,"01 Oct 2025, 13:07",Hayley Williams,Ego Death At A Bachelorette Party
Blood Bros,1,"01 Oct 2025, 13:04",Hayley Williams,Ego Death At A Bachelorette Party
Dream Girl In Shibuya,1,"01 Oct 2025, 13:00",Hayley Williams,Ego Death At A Bachelorette Party
Zissou,1,"01 Oct 2025, 12:57",Hayley Williams,Ego Death At A Bachelorette Party
True Believer,1,"01 Oct 2025, 12:49",Hayley Williams,Ego Death At A Bachelorette Party
Discovery Channel,1,"01 Oct 2025, 12:46",Hayley Williams,Ego Death At A Bachelorette Party
Hard,1,"01 Oct 2025, 12:43",Hayley Williams,Ego Death At A Bachelorette Party
Ego Death At A Bachelorette Party,1,"01 Oct 2025, 12:40",Hayley Williams,Ego Death At A Bachelorette Party
Negative Self Talk,1,"01 Oct 2025, 12:35",Hayley Williams,Ego Death At A Bachelorette Party
Brotherly Hate,1,"01 Oct 2025, 12:32",Hayley Williams,Ego Death At A Bachelorette Party
Love Me Different,1,"01 Oct 2025, 12:29",Hayley Williams,Ego Death At A Bachelorette Party
Disappearing Man,1,"01 Oct 2025, 12:25",Hayley Williams,Ego Death At A Bachelorette Party
Mirtazapine,1,"01 Oct 2025, 12:10",Hayley Williams,Ego Death At A Bachelorette Party
Whim,1,"01 Oct 2025, 12:07",Hayley Williams,Ego Death At A Bachelorette Party
Kill Me,1,"01 Oct 2025, 12:04",Hayley Williams,Ego Death At A Bachelorette Party
Glum,1,"01 Oct 2025, 12:01",Hayley Williams,Ego Death At A Bachelorette Party
Ice In My OJ,1,"01 Oct 2025, 11:58",Hayley Williams,Ego Death At A Bachelorette Party
Parachute,1,"01 Oct 2025, 11:55",Hayley Williams,Ego Death At A Bachelorette Party
I Won't Quit On You,1,"01 Oct 2025, 11:51",Hayley Williams,Ego Death At A Bachelorette Party
Blood Bros,1,"01 Oct 2025, 11:47",Hayley Williams,Ego Death At A Bachelorette Party
Dream Girl In Shibuya,1,"01 Oct 2025, 11:43",Hayley Williams,Ego Death At A Bachelorette Party
Zissou,1,"01 Oct 2025, 11:40",Hayley Williams,Ego Death At A Bachelorette Party
True Believer,1,"01 Oct 2025, 11:36",Hayley Williams,Ego Death At A Bachelorette Party
Discovery Channel,1,"01 Oct 2025, 11:33",Hayley Williams,Ego Death At A Bachelorette Party
Hard,1,"01 Oct 2025, 11:30",Hayley Williams,Ego Death At A Bachelorette Party
Ego Death At A Bachelorette Party,1,"01 Oct 2025, 11:27",Hayley Williams,Ego Death At A Bachelorette Party
Negative Self Talk,1,"01 Oct 2025, 11:22",Hayley Williams,Ego Death At A Bachelorette Party
Brotherly Hate,1,"01 Oct 2025, 11:20",Hayley Williams,Ego Death At A Bachelorette Party
Dulce Amor,1,"01 Oct 2025, 07:38",David Archuleta,Earthly Delights
Crème Brulée (Super Slowed),1,"01 Oct 2025, 07:35",David Archuleta,Crème Brulée (Varispeed Versions)
One of Your Girls,1,"01 Oct 2025, 07:32",Troye Sivan,Something To Give Each Other [Clean] [Clean]
All Natural,1,"01 Oct 2025, 07:29",Rita Ora,All Natural
Even Angels Let Go,1,"01 Oct 2025, 07:25",Benson Boone,Even Angels Let Go
The Look,1,"01 Oct 2025, 07:21",Ryan Tedder,The Look
Love Me Different,1,"01 Oct 2025, 07:19",Hayley Williams,Ego Death At A Bachelorette Party
Disappearing Man,1,"01 Oct 2025, 07:15",Hayley Williams,Ego Death At A Bachelorette Party
Mirtazapine,1,"01 Oct 2025, 07:12",Hayley Williams,Ego Death At A Bachelorette Party
Whim,1,"01 Oct 2025, 07:08",Hayley Williams,Ego Death At A Bachelorette Party
Kill Me,1,"01 Oct 2025, 07:05",Hayley Williams,Ego Death At A Bachelorette Party
Kill Me,1,"01 Oct 2025, 06:54",Hayley Williams,Ego Death At A Bachelorette Party
Glum,1,"01 Oct 2025, 06:51",Hayley Williams,Ego Death At A Bachelorette Party
Ice In My OJ,1,"01 Oct 2025, 06:48",Hayley Williams,Ego Death At A Bachelorette Party
Eleven Eleven,1,"01 Oct 2025, 06:45",Conan Gray,Wishbone
Sunset Tower,1,"01 Oct 2025, 06:42",Conan Gray,Wishbone
Vodka Cranberry,1,"01 Oct 2025, 06:38",Conan Gray,Wishbone
This Song,1,"01 Oct 2025, 06:34",Conan Gray,Wishbone
Care,1,"01 Oct 2025, 06:30",Conan Gray,Wishbone
Actor,1,"01 Oct 2025, 06:30",Conan Gray,Wishbone
Care,1,"01 Oct 2025, 06:10",Conan Gray,Wishbone
Eleven Eleven,1,"01 Oct 2025, 06:06",Conan Gray,Wishbone
Sunset Tower,1,"01 Oct 2025, 06:03",Conan Gray,Wishbone
...Ready for It?,1,"01 Oct 2025, 05:49",Taylor Swift,reputation
Connell,1,"01 Oct 2025, 05:40",Conan Gray,Wishbone
Caramel,1,"01 Oct 2025, 05:36",Conan Gray,Wishbone
Nauseous,1,"01 Oct 2025, 05:32",Conan Gray,Wishbone
Class Clown,1,"01 Oct 2025, 05:29",Conan Gray,Wishbone
My World,1,"01 Oct 2025, 05:25",Conan Gray,Wishbone
Romeo,1,"01 Oct 2025, 05:21",Conan Gray,Wishbone
Vodka Cranberry,1,"01 Oct 2025, 05:17",Conan Gray,Wishbone
This Song,1,"01 Oct 2025, 05:14",Conan Gray,Wishbone
Actor,1,"01 Oct 2025, 05:10",Conan Gray,Wishbone
Catch My Breath,1,"01 Oct 2025, 05:07",Ava Max,Don't Click Play
World’s Smallest Violin,1,"01 Oct 2025, 05:04",Ava Max,Don't Click Play
Skin in the Game,1,"01 Oct 2025, 05:01",Ava Max,Don't Click Play
Fight for Me,1,"01 Oct 2025, 04:59",Ava Max,Don't Click Play
Lost Your Faith,1,"01 Oct 2025, 04:56",Ava Max,Don't Click Play
Know Somebody,1,"01 Oct 2025, 04:52",Ava Max,Don't Click Play
Take My Call,1,"01 Oct 2025, 04:49",Ava Max,Don't Click Play
"Wet, Hot American Dream",1,"01 Oct 2025, 04:43",Ava Max,Don't Click Play
Sucks to Be My Ex,1,"01 Oct 2025, 04:40",Ava Max,Don't Click Play
Lovin Myself,1,"01 Oct 2025, 04:37",Ava Max,Don't Click Play
How Can I Dance,1,"01 Oct 2025, 04:34",Ava Max,Don't Click Play
Don’t Click Play,1,"01 Oct 2025, 04:32",Ava Max,Don't Click Play
under the mat,1,"01 Oct 2025, 04:27",sombr,I Barely Know Her
we never dated,1,"01 Oct 2025, 04:24",sombr,I Barely Know Her
come closer,1,"01 Oct 2025, 04:21",sombr,I Barely Know Her
undressed,1,"01 Oct 2025, 04:06",sombr,I Barely Know Her
dime,1,"01 Oct 2025, 03:56",sombr,I Barely Know Her
canal street,1,"01 Oct 2025, 03:48",sombr,I Barely Know Her
back to friends,1,"01 Oct 2025, 03:45",sombr,I Barely Know Her
i wish i knew how to quit you,1,"01 Oct 2025, 03:41",sombr,I Barely Know Her
12 to 12,1,"01 Oct 2025, 03:21",sombr,I Barely Know Her
crushing,1,"01 Oct 2025, 03:17",sombr,I Barely Know Her
under the mat,1,"01 Oct 2025, 03:13",sombr,I Barely Know Her
we never dated,1,"01 Oct 2025, 03:09",sombr,I Barely Know Her
come closer,1,"01 Oct 2025, 03:06",sombr,I Barely Know Her
undressed,1,"01 Oct 2025, 03:03",sombr,I Barely Know Her
dime,1,"01 Oct 2025, 02:59",sombr,I Barely Know Her
canal street,1,"01 Oct 2025, 02:54",sombr,I Barely Know Her
back to friends,1,"01 Oct 2025, 02:51",sombr,I Barely Know Her
i wish i knew how to quit you,1,"01 Oct 2025, 02:47",sombr,I Barely Know Her
12 to 12,1,"01 Oct 2025, 02:43",sombr,I Barely Know Her
crushing,1,"01 Oct 2025, 02:40",sombr,I Barely Know Her
uP,1,"01 Oct 2025, 02:37",David Archuleta,uP
Beast,1,"01 Oct 2025, 02:34",David Archuleta,Beast
I'm Yours,1,"01 Oct 2025, 02:30",David Archuleta,I'm Yours
Inside Out,1,"01 Oct 2025, 02:27",David Archuleta,Earthly Delights (Deluxe Edition)
Fade to Black,1,"01 Oct 2025, 02:24",David Archuleta,Earthly Delights (Deluxe Edition)
yes baby,1,"01 Oct 2025, 02:21",Madison Beer,yes baby
Dulce Amor,1,"01 Oct 2025, 02:15",David Archuleta,Earthly Delights
Home,1,"01 Oct 2025, 02:12",David Archuleta,Earthly Delights
Lucky,1,"01 Oct 2025, 02:09",David Archuleta,Earthly Delights
Can I Call You,1,"01 Oct 2025, 02:05",David Archuleta,Earthly Delights
Crème Brulée,1,"01 Oct 2025, 02:02",David Archuleta,Earthly Delights
Give You the World,1,"01 Oct 2025, 01:58",David Archuleta,Earthly Delights
Dulce Amor,1,"01 Oct 2025, 01:55",David Archuleta,Earthly Delights
Home,1,"01 Oct 2025, 01:52",David Archuleta,Earthly Delights
Lucky,1,"01 Oct 2025, 01:49",David Archuleta,Earthly Delights
Can I Call You,1,"01 Oct 2025, 01:45",David Archuleta,Earthly Delights
Crème Brulée,1,"01 Oct 2025, 01:42",David Archuleta,Earthly Delights
Give You the World,1,"01 Oct 2025, 01:39",David Archuleta,Earthly Delights
Sharp Edges,1,"01 Oct 2025, 01:36",Linkin Park,One More Light
One More Light,1,"01 Oct 2025, 01:32",Linkin Park,One More Light
Halfway Right,1,"01 Oct 2025, 01:28",Linkin Park,One More Light
Sorry for Now,1,"01 Oct 2025, 01:25",Linkin Park,One More Light
Heavy (feat. Kiiara),1,"01 Oct 2025, 01:22",Linkin Park,One More Light
Invisible,1,"01 Oct 2025, 01:18",Linkin Park,One More Light
Battle Symphony,1,"01 Oct 2025, 01:15",Linkin Park,One More Light
Talking to Myself,1,"01 Oct 2025, 01:11",Linkin Park,One More Light
Good Goodbye (feat. Pusha T and Stormzy),1,"01 Oct 2025, 01:07",Linkin Park,One More Light
Nobody Can Save Me,1,"01 Oct 2025, 01:03",Linkin Park,One More Light
Let You Fade,1,"01 Oct 2025, 01:00",Linkin Park,From Zero (Deluxe Edition)
Unshatter,1,"01 Oct 2025, 00:57",Linkin Park,From Zero (Deluxe Edition)
Up From the Bottom,1,"01 Oct 2025, 00:54",Linkin Park,From Zero (Deluxe Edition)
Good Things Go,1,"01 Oct 2025, 00:50",Linkin Park,From Zero
IGYEIH,1,"01 Oct 2025, 00:47",Linkin Park,From Zero
Stained,1,"01 Oct 2025, 00:44",Linkin Park,From Zero
Two Faced,1,"01 Oct 2025, 00:39",Linkin Park,From Zero
Overflow,1,"01 Oct 2025, 00:35",Linkin Park,From Zero
Casualty,1,"01 Oct 2025, 00:33",Linkin Park,From Zero
Over Each Other,1,"01 Oct 2025, 00:30",Linkin Park,From Zero
Heavy Is the Crown,1,"01 Oct 2025, 00:27",Linkin Park,From Zero
Cut the Bridge,1,"01 Oct 2025, 00:23",Linkin Park,From Zero
The Emptiness Machine,1,"01 Oct 2025, 00:20",Linkin Park,From Zero
Not Today,1,"01 Oct 2025, 00:16",Twenty One Pilots,Blurryface
Message Man,1,"01 Oct 2025, 00:12",Twenty One Pilots,Blurryface
We Don't Believe What's on TV,1,"01 Oct 2025, 00:08",Twenty One Pilots,Blurryface
Polarize,1,"01 Oct 2025, 00:05",Twenty One Pilots,Blurryface
The Judge,1,"01 Oct 2025, 00:00",Twenty One Pilots,Blurryface
Tear in My Heart,1,"30 Sep 2025, 23:57",Twenty One Pilots,Blurryface
Fairly Local,1,"30 Sep 2025, 23:53",Twenty One Pilots,Blurryface
Heavydirtysoul,1,"30 Sep 2025, 23:49",Twenty One Pilots,Blurryface
Heavydirtysoul,1,"30 Sep 2025, 23:45",Twenty One Pilots,Blurryface
Goner,1,"30 Sep 2025, 23:41",Twenty One Pilots,Blurryface
Not Today,1,"30 Sep 2025, 23:37",Twenty One Pilots,Blurryface
Hometown,1,"30 Sep 2025, 23:33",Twenty One Pilots,Blurryface
Message Man,1,"30 Sep 2025, 23:29",Twenty One Pilots,Blurryface
We Don't Believe What's on TV,1,"30 Sep 2025, 23:26",Twenty One Pilots,Blurryface
Polarize,1,"30 Sep 2025, 23:22",Twenty One Pilots,Blurryface
Doubt,1,"30 Sep 2025, 23:19",Twenty One Pilots,Blurryface
The Judge,1,"30 Sep 2025, 23:14",Twenty One Pilots,Blurryface
Lane Boy,1,"30 Sep 2025, 23:10",Twenty One Pilots,Blurryface
Tear in My Heart,1,"30 Sep 2025, 23:07",Twenty One Pilots,Blurryface
Fairly Local,1,"30 Sep 2025, 23:03",Twenty One Pilots,Blurryface
Ride,1,"30 Sep 2025, 23:00",Twenty One Pilots,Blurryface
Stressed Out,1,"30 Sep 2025, 22:56",Twenty One Pilots,Blurryface
Heavydirtysoul,1,"30 Sep 2025, 22:52",Twenty One Pilots,Blurryface
Intentions,1,"30 Sep 2025, 22:50",Twenty One Pilots,Breach
Tally,1,"30 Sep 2025, 22:47",Twenty One Pilots,Breach
Days Lie Dormant,1,"30 Sep 2025, 22:43",Twenty One Pilots,Breach
One Way,1,"30 Sep 2025, 22:37",Twenty One Pilots,Breach
Cottonwood,1,"30 Sep 2025, 22:33",Twenty One Pilots,Breach
Center Mass,1,"30 Sep 2025, 22:30",Twenty One Pilots,Breach
Robot Voices,1,"30 Sep 2025, 22:26",Twenty One Pilots,Breach
Downstairs,1,"30 Sep 2025, 22:20",Twenty One Pilots,Breach
The Contract,1,"30 Sep 2025, 22:16",Twenty One Pilots,Breach
Garbage,1,"30 Sep 2025, 22:13",Twenty One Pilots,Breach
Drum Show,1,"30 Sep 2025, 22:10",Twenty One Pilots,Breach
RAWFEAR,1,"30 Sep 2025, 22:06",twenty one pilots,Breach
City Walls,1,"30 Sep 2025, 22:01",Twenty One Pilots,Breach
Intentions,1,"30 Sep 2025, 21:59",Twenty One Pilots,Breach
Tally,1,"30 Sep 2025, 21:55",Twenty One Pilots,Breach
Days Lie Dormant,1,"30 Sep 2025, 21:52",Twenty One Pilots,Breach
One Way,1,"30 Sep 2025, 21:49",Twenty One Pilots,Breach
Cottonwood,1,"30 Sep 2025, 21:46",Twenty One Pilots,Breach
Cottonwood,1,"30 Sep 2025, 20:34",Twenty One Pilots,Breach
Center Mass,1,"30 Sep 2025, 20:30",Twenty One Pilots,Breach
Robot Voices,1,"30 Sep 2025, 20:26",Twenty One Pilots,Breach
Downstairs,1,"30 Sep 2025, 20:21",Twenty One Pilots,Breach
The Contract,1,"30 Sep 2025, 20:17",Twenty One Pilots,Breach
Garbage,1,"30 Sep 2025, 20:13",Twenty One Pilots,Breach
Drum Show,1,"30 Sep 2025, 20:10",Twenty One Pilots,Breach
RAWFEAR,1,"30 Sep 2025, 20:07",twenty one pilots,Breach
City Walls,1,"30 Sep 2025, 19:41",Twenty One Pilots,Breach
Timeless (Taylor’s Version) (From the Vault),1,"30 Sep 2025, 19:35",Taylor Swift,Speak Now (Taylor's Version)
Foolish One (Taylor’s Version) (From the Vault),1,"30 Sep 2025, 19:30",Taylor Swift,Speak Now (Taylor's Version)
Castles Crumbling (Taylor’s Version) (From The Vault),1,"30 Sep 2025, 19:21",Taylor Swift,Speak Now (Taylor's Version)
I Can See You (Taylor’s Version) (From the Vault),1,"30 Sep 2025, 19:16",Taylor Swift,Speak Now (Taylor's Version)
When Emma Falls in Love (Taylor’s Version) (From the Vault),1,"30 Sep 2025, 19:09",Taylor Swift,Speak Now (Taylor's Version)
electric touch (taylor’s version) (from the vault),1,"30 Sep 2025, 19:04",Taylor Swift,Speak Now (Taylor's Version)
Superman (Taylor’s Version),1,"30 Sep 2025, 19:00",Taylor Swift,Speak Now (Taylor's Version)
Ours (Taylor’s Version),1,"30 Sep 2025, 18:54",Taylor Swift,Speak Now (Taylor's Version)
Long Live (Taylor's Version),1,"30 Sep 2025, 18:25",Taylor Swift,Speak Now (Taylor's Version)
Last Kiss (Taylor's Version),1,"30 Sep 2025, 18:19",Taylor Swift,Speak Now (Taylor's Version)
Haunted (Taylor's Version),1,"30 Sep 2025, 18:15",Taylor Swift,Speak Now (Taylor's Version)
Innocent (Taylor's Version),1,"30 Sep 2025, 18:10",Taylor Swift,Speak Now (Taylor's Version)
Better Than Revenge (Taylor's Version),1,"30 Sep 2025, 18:06",Taylor Swift,Speak Now (Taylor's Version)
Enchanted (Taylor's Version),1,"30 Sep 2025, 17:48",Taylor Swift,Speak Now (Taylor's Version)
Never Grow Up (Taylor's Version),1,"30 Sep 2025, 17:38",Taylor Swift,Speak Now (Taylor's Version)
The Story of Us (Taylor's Version),1,"30 Sep 2025, 17:34",Taylor Swift,Speak Now (Taylor's Version)
Mean (Taylor's Version),1,"30 Sep 2025, 17:30",Taylor Swift,Speak Now (Taylor's Version)
Dear John (Taylor's Version),1,"30 Sep 2025, 17:23",Taylor Swift,Speak Now (Taylor's Version)
Speak Now (Taylor's Version),1,"30 Sep 2025, 17:19",Taylor Swift,Speak Now (Taylor's Version)
Back to December (Taylor's Version),1,"30 Sep 2025, 17:14",Taylor Swift,Speak Now (Taylor's Version)
Sparks Fly (Taylor’s Version),1,"30 Sep 2025, 17:09",Taylor Swift,Speak Now (Taylor's Version)
Mine (Taylor's Version),1,"30 Sep 2025, 17:05",Taylor Swift,Speak Now (Taylor's Version)
TIT FOR TAT,1,"30 Sep 2025, 17:03",Tate McRae,TIT FOR TAT
Twist The Knife,1,"30 Sep 2025, 16:59",Kyra Fields,Twist The Knife
canal street,1,"30 Sep 2025, 16:54",sombr,I Barely Know Her
One Way,1,"30 Sep 2025, 16:51",Twenty One Pilots,Breach
I Luv It,1,"30 Sep 2025, 16:48",Camila Cabello,"C,XOXO"
RAWFEAR,1,"30 Sep 2025, 16:45",twenty one pilots,Breach
1-800,1,"30 Sep 2025, 16:41",bbno$,1-800
Here All Night,1,"30 Sep 2025, 16:38",Demi Lovato,Here All Night
Twist The Knife,1,"30 Sep 2025, 16:35",Kyra Fields,Twist The Knife
TIT FOR TAT,1,"30 Sep 2025, 16:32",Tate McRae,TIT FOR TAT
exes,1,"30 Sep 2025, 16:12",Tate McRae,THINK LATER
Guilty as Sin?,1,"30 Sep 2025, 16:08",Taylor Swift,THE TORTURED POETS DEPARTMENT
grave,1,"30 Sep 2025, 16:04",Tate McRae,THINK LATER
guilty conscience,1,"30 Sep 2025, 16:02",Tate McRae,THINK LATER
run for the hills,1,"30 Sep 2025, 15:59",Tate McRae,THINK LATER
we're not alike,1,"30 Sep 2025, 15:56",Tate McRae,THINK LATER
messier,1,"30 Sep 2025, 15:53",Tate McRae,THINK LATER
New Americana,1,"30 Sep 2025, 15:49",Halsey,BADLANDS
Apple,1,"30 Sep 2025, 15:47",Charli xcx,BRAT
greedy,1,"30 Sep 2025, 15:45",Tate McRae,THINK LATER
So High School,1,"30 Sep 2025, 15:41",Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
